instant,dteday,weathersit,temp,atemp,hum,windspeed,cnt,month,day,year,day of week,quarter,days passed,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Weekend
1,1/1/2011,1,0.24,0.2879,0.81,0,16,1,1,2011,6,1,0,0,0,0,0,0,1,1
2,1/1/2011,1,0.22,0.2727,0.8,0,40,1,1,2011,6,1,0,0,0,0,0,0,1,1
3,1/1/2011,1,0.22,0.2727,0.8,0,32,1,1,2011,6,1,0,0,0,0,0,0,1,1
4,1/1/2011,1,0.24,0.2879,0.75,0,13,1,1,2011,6,1,0,0,0,0,0,0,1,1
5,1/1/2011,1,0.24,0.2879,0.75,0,1,1,1,2011,6,1,0,0,0,0,0,0,1,1
6,1/1/2011,2,0.24,0.2576,0.75,0.0896,1,1,1,2011,6,1,0,0,0,0,0,0,1,1
7,1/1/2011,1,0.22,0.2727,0.8,0,2,1,1,2011,6,1,0,0,0,0,0,0,1,1
8,1/1/2011,1,0.2,0.2576,0.86,0,3,1,1,2011,6,1,0,0,0,0,0,0,1,1
9,1/1/2011,1,0.24,0.2879,0.75,0,8,1,1,2011,6,1,0,0,0,0,0,0,1,1
10,1/1/2011,1,0.32,0.3485,0.76,0,14,1,1,2011,6,1,0,0,0,0,0,0,1,1
11,1/1/2011,1,0.38,0.3939,0.76,0.2537,36,1,1,2011,6,1,0,0,0,0,0,0,1,1
12,1/1/2011,1,0.36,0.3333,0.81,0.2836,56,1,1,2011,6,1,0,0,0,0,0,0,1,1
13,1/1/2011,1,0.42,0.4242,0.77,0.2836,84,1,1,2011,6,1,0,0,0,0,0,0,1,1
14,1/1/2011,2,0.46,0.4545,0.72,0.2985,94,1,1,2011,6,1,0,0,0,0,0,0,1,1
15,1/1/2011,2,0.46,0.4545,0.72,0.2836,106,1,1,2011,6,1,0,0,0,0,0,0,1,1
16,1/1/2011,2,0.44,0.4394,0.77,0.2985,110,1,1,2011,6,1,0,0,0,0,0,0,1,1
17,1/1/2011,2,0.42,0.4242,0.82,0.2985,93,1,1,2011,6,1,0,0,0,0,0,0,1,1
18,1/1/2011,2,0.44,0.4394,0.82,0.2836,67,1,1,2011,6,1,0,0,0,0,0,0,1,1
19,1/1/2011,3,0.42,0.4242,0.88,0.2537,35,1,1,2011,6,1,0,0,0,0,0,0,1,1
20,1/1/2011,3,0.42,0.4242,0.88,0.2537,37,1,1,2011,6,1,0,0,0,0,0,0,1,1
21,1/1/2011,2,0.4,0.4091,0.87,0.2537,36,1,1,2011,6,1,0,0,0,0,0,0,1,1
22,1/1/2011,2,0.4,0.4091,0.87,0.194,34,1,1,2011,6,1,0,0,0,0,0,0,1,1
23,1/1/2011,2,0.4,0.4091,0.94,0.2239,28,1,1,2011,6,1,0,0,0,0,0,0,1,1
24,1/1/2011,2,0.46,0.4545,0.88,0.2985,39,1,1,2011,6,1,0,0,0,0,0,0,1,1
25,2/1/2011,2,0.46,0.4545,0.88,0.2985,17,1,2,2011,7,1,1,0,0,0,0,0,0,1
26,2/1/2011,2,0.44,0.4394,0.94,0.2537,17,1,2,2011,7,1,1,0,0,0,0,0,0,1
27,2/1/2011,2,0.42,0.4242,1,0.2836,9,1,2,2011,7,1,1,0,0,0,0,0,0,1
28,2/1/2011,2,0.46,0.4545,0.94,0.194,6,1,2,2011,7,1,1,0,0,0,0,0,0,1
29,2/1/2011,2,0.46,0.4545,0.94,0.194,3,1,2,2011,7,1,1,0,0,0,0,0,0,1
30,2/1/2011,3,0.42,0.4242,0.77,0.2985,2,1,2,2011,7,1,1,0,0,0,0,0,0,1
31,2/1/2011,2,0.4,0.4091,0.76,0.194,1,1,2,2011,7,1,1,0,0,0,0,0,0,1
32,2/1/2011,3,0.4,0.4091,0.71,0.2239,8,1,2,2011,7,1,1,0,0,0,0,0,0,1
33,2/1/2011,2,0.38,0.3939,0.76,0.2239,20,1,2,2011,7,1,1,0,0,0,0,0,0,1
34,2/1/2011,2,0.36,0.3485,0.81,0.2239,53,1,2,2011,7,1,1,0,0,0,0,0,0,1
35,2/1/2011,2,0.36,0.3333,0.71,0.2537,70,1,2,2011,7,1,1,0,0,0,0,0,0,1
36,2/1/2011,2,0.36,0.3333,0.66,0.2985,93,1,2,2011,7,1,1,0,0,0,0,0,0,1
37,2/1/2011,2,0.36,0.3485,0.66,0.1343,75,1,2,2011,7,1,1,0,0,0,0,0,0,1
38,2/1/2011,3,0.36,0.3485,0.76,0.194,59,1,2,2011,7,1,1,0,0,0,0,0,0,1
39,2/1/2011,3,0.34,0.3333,0.81,0.1642,74,1,2,2011,7,1,1,0,0,0,0,0,0,1
40,2/1/2011,3,0.34,0.3333,0.71,0.1642,76,1,2,2011,7,1,1,0,0,0,0,0,0,1
41,2/1/2011,1,0.34,0.3333,0.57,0.194,65,1,2,2011,7,1,1,0,0,0,0,0,0,1
42,2/1/2011,2,0.36,0.3333,0.46,0.3284,53,1,2,2011,7,1,1,0,0,0,0,0,0,1
43,2/1/2011,1,0.32,0.2879,0.42,0.4478,30,1,2,2011,7,1,1,0,0,0,0,0,0,1
